my results 	his results
[(28131L,)] 	[(28152L,)]
[(27308L,)] 	[(27318L,)]
[(27211L,)] 	[(27213L,)]
[(26934L,)] 	[(26944L,)]
[(26350L,)] 	[(26358L,)]
[(25894L,)] 	[(25896L,)]
[(25766L,)] 	[(25783L,)]
[(25251L,)] 	[(25267L,)]
[(24568L,)] 	[(24575L,)]
[(23528L,)] 	[(23536L,)]
[(23869L,)] 	[(23864L,)]
[(23641L,)] 	[(23642L,)]
[(23287L,)] 	[(23293L,)]
[(23379L,)] 	[(23383L,)]
[(22892L,)] 	[(22895L,)]
[(22633L,)] 	[(22621L,)]
[(22349L,)] 	[(22338L,)]
[(22310L,)] 	[(22315L,)]
[(21567L,)] 	[(21551L,)]
[(20769L,)] 	[(20784L,)]
[(20889L,)] 	[(20882L,)]
[(20437L,)] 	[(20456L,)]
[(19948L,)] 	[(19948L,)]
[(19661L,)] 	[(19660L,)]
[(19210L,)] 	[(19214L,)]
[(18115L,)] 	[(18138L,)]
[(17684L,)] 	[(17693L,)]
[(17781L,)] 	[(17804L,)]
[(18324L,)] 	[(18326L,)]
[(18123L,)] 	[(18139L,)]
[(18080L,)] 	[(18069L,)]
[(17023L,)] 	[(17021L,)]
[(17502L,)] 	[(17508L,)]
[(17317L,)] 	[(17312L,)]
[(17120L,)] 	[(17135L,)]
[(16264L,)] 	[(16265L,)]
[(16815L,)] 	[(16819L,)]
[(15840L,)] 	[(15872L,)]
[(15740L,)] 	[(15763L,)]
[(15372L,)] 	[(15375L,)]
[(15302L,)] 	[(15305L,)]
[(14897L,)] 	[(14899L,)]
[(15014L,)] 	[(15018L,)]
[(14346L,)] 	[(14361L,)]
[(14397L,)] 	[(14400L,)]
[(13824L,)] 	[(13816L,)]
[(13772L,)] 	[(13783L,)]
[(13656L,)] 	[(13659L,)]
[(13895L,)] 	[(13910L,)]
[(13127L,)] 	[(13135L,)]
[(12906L,)] 	[(12914L,)]
[(12693L,)] 	[(12697L,)]
[(12242L,)] 	[(12247L,)]
[(12981L,)] 	[(12982L,)]
[(12452L,)] 	[(12459L,)]
[(13269L,)] 	[(13273L,)]
[(13391L,)] 	[(13369L,)]
[(13383L,)] 	[(13375L,)]
[(14184L,)] 	[(14192L,)]
[(14430L,)] 	[(14434L,)]
[(15228L,)] 	[(15240L,)]
[(15174L,)] 	[(15186L,)]
[(16110L,)] 	[(16120L,)]
[(16655L,)] 	[(16651L,)]
[(17679L,)] 	[(17675L,)]
[(18431L,)] 	[(18430L,)]
[(19236L,)] 	[(19243L,)]
[(20172L,)] 	[(20164L,)]
[(21100L,)] 	[(21111L,)]
[(21051L,)] 	[(21064L,)]
[(22237L,)] 	[(22227L,)]
[(23031L,)] 	[(23031L,)]
[(24197L,)] 	[(24222L,)]
[(24330L,)] 	[(24345L,)]
[(25312L,)] 	[(25339L,)]
[(26197L,)] 	[(26217L,)]
[(27215L,)] 	[(27241L,)]
[(27840L,)] 	[(27861L,)]
[(29162L,)] 	[(29180L,)]
[(29774L,)] 	[(29788L,)]
[(30353L,)] 	[(30385L,)]
[(31175L,)] 	[(31185L,)]
[(31884L,)] 	[(31906L,)]
[(32300L,)] 	[(32302L,)]
[(32999L,)] 	[(33008L,)]
[(33509L,)] 	[(33514L,)]
[(33825L,)] 	[(33820L,)]
[(33857L,)] 	[(33857L,)]
[(34519L,)] 	[(34526L,)]
[(34640L,)] 	[(34634L,)]
[(35356L,)] 	[(35382L,)]
[(35439L,)] 	[(35436L,)]
[(35625L,)] 	[(35624L,)]
[(35934L,)] 	[(35982L,)]
[(35746L,)] 	[(35771L,)]
[(36660L,)] 	[(36656L,)]
[(36469L,)] 	[(36512L,)]
[(37202L,)] 	[(37262L,)]
[(36648L,)] 	[(36689L,)]
[(37219L,)] 	[(37345L,)]
[(37369L,)] 	[(37603L,)]
[(37491L,)] 	[(37803L,)]
[(37150L,)] 	[(37558L,)]
[(37059L,)] 	[(37655L,)]
[(36398L,)] 	[(37502L,)]
[(36204L,)] 	[(37327L,)]
[(35934L,)] 	[(37298L,)]
[(35956L,)] 	[(37794L,)]
[(35726L,)] 	[(37692L,)]
[(35204L,)] 	[(37580L,)]
[(34340L,)] 	[(37258L,)]
[(34403L,)] 	[(37213L,)]
[(33437L,)] 	[(36799L,)]
[(33349L,)] 	[(37378L,)]
[(32918L,)] 	[(37100L,)]
[(32515L,)] 	[(36816L,)]
[(32201L,)] 	[(36805L,)]
[(30776L,)] 	[(36831L,)]
[(31083L,)] 	[(36523L,)]
[(30452L,)] 	[(36365L,)]
[(30175L,)] 	[(36196L,)]
[(30044L,)] 	[(36690L,)]
[(29224L,)] 	[(36989L,)]
[(28471L,)] 	[(36180L,)]
[(29058L,)] 	[(36638L,)]
[(29447L,)] 	[(36534L,)]
[(29127L,)] 	[(36949L,)]
[(28722L,)] 	[(36943L,)]
[(28938L,)] 	[(37149L,)]
[(27920L,)] 	[(37606L,)]
[(27678L,)] 	[(37294L,)]
[(27760L,)] 	[(36970L,)]
[(28542L,)] 	[(37175L,)]
[(27292L,)] 	[(36776L,)]
[(27589L,)] 	[(36920L,)]
[(27585L,)] 	[(36533L,)]
[(27111L,)] 	[(36628L,)]
[(25430L,)] 	[(36328L,)]
[(26457L,)] 	[(36557L,)]
[(26640L,)] 	[(36777L,)]
[(25640L,)] 	[(36803L,)]
[(25882L,)] 	[(36421L,)]
[(26493L,)] 	[(36025L,)]
[(26739L,)] 	[(36308L,)]
[(26323L,)] 	[(36050L,)]
[(24828L,)] 	[(35650L,)]
[(25500L,)] 	[(35865L,)]
[(26496L,)] 	[(35906L,)]
[(26192L,)] 	[(35430L,)]
[(24807L,)] 	[(34969L,)]
[(24710L,)] 	[(35056L,)]
[(25405L,)] 	[(35290L,)]
[(25856L,)] 	[(35714L,)]
[(25349L,)] 	[(35419L,)]
[(25603L,)] 	[(35402L,)]
[(25798L,)] 	[(35303L,)]
[(26146L,)] 	[(35547L,)]
[(25950L,)] 	[(35093L,)]
[(26315L,)] 	[(35101L,)]
[(26344L,)] 	[(34937L,)]
[(25743L,)] 	[(35118L,)]
[(25513L,)] 	[(35320L,)]
[(26778L,)] 	[(35540L,)]
[(26570L,)] 	[(35314L,)]
[(26146L,)] 	[(35374L,)]
[(27028L,)] 	[(35530L,)]
[(26881L,)] 	[(35335L,)]
[(26792L,)] 	[(35182L,)]
[(27381L,)] 	[(35364L,)]
[(26689L,)] 	[(35240L,)]
[(24323L,)] 	[(34602L,)]
[(24964L,)] 	[(34843L,)]
[(25551L,)] 	[(34851L,)]
[(26372L,)] 	[(35944L,)]
[(26703L,)] 	[(35192L,)]
[(26607L,)] 	[(35340L,)]
[(26369L,)] 	[(35512L,)]
[(26150L,)] 	[(35440L,)]
[(25196L,)] 	[(35294L,)]
[(24719L,)] 	[(35349L,)]
[(25188L,)] 	[(35516L,)]
[(25657L,)] 	[(35666L,)]
[(26048L,)] 	[(35645L,)]
[(25790L,)] 	[(35618L,)]
[(25453L,)] 	[(35585L,)]
[(26278L,)] 	[(36097L,)]
[(25643L,)] 	[(35941L,)]
[(23353L,)] 	[(36022L,)]
[(24419L,)] 	[(36140L,)]
[(25558L,)] 	[(36261L,)]
[(26112L,)] 	[(36327L,)]
[(25138L,)] 	[(36122L,)]
[(24719L,)] 	[(36260L,)]
[(24769L,)] 	[(36367L,)]
[(25049L,)] 	[(36607L,)]
[(24620L,)] 	[(36399L,)]
[(23988L,)] 	[(35972L,)]
[(23798L,)] 	[(35796L,)]
[(23591L,)] 	[(36130L,)]
[(23617L,)] 	[(36416L,)]
[(24500L,)] 	[(36365L,)]
[(24260L,)] 	[(36026L,)]
[(24876L,)] 	[(36613L,)]
[(24777L,)] 	[(36656L,)]
[(24377L,)] 	[(36611L,)]
[(23308L,)] 	[(36505L,)]
[(22487L,)] 	[(36317L,)]
[(23386L,)] 	[(36874L,)]
[(23588L,)] 	[(36389L,)]
[(22862L,)] 	[(36430L,)]
[(22855L,)] 	[(36587L,)]
[(23282L,)] 	[(36551L,)]
[(23344L,)] 	[(36146L,)]
[(23578L,)] 	[(36123L,)]
[(23531L,)] 	[(36045L,)]
