create TABLE valid_gps_test as select * from gps where ostdesc not like '%定位无效%';
CREATE INDEX suid_idx ON valid_gps_test (suid);
ALTER TABLE valid_gps_test add column stop integer;
get_suids finished!
get_suids finished!
1/27297	21370: label_stop finished!
2/27297	2848: label_stop finished!
3/27297	10295: label_stop finished!
4/27297	2026: label_stop finished!
5/27297	17928: label_stop finished!
6/27297	16703: label_stop finished!
7/27297	9545: label_stop finished!
8/27297	14724: label_stop finished!
9/27297	6122: label_stop finished!
10/27297	28077: label_stop finished!
11/27297	12267: label_stop finished!
12/27297	10551: label_stop finished!
13/27297	23772: label_stop finished!
14/27297	28365: label_stop finished!
15/27297	13362: label_stop finished!
16/27297	8533: label_stop finished!
17/27297	12244: label_stop finished!
18/27297	10738: label_stop finished!
19/27297	9243: label_stop finished!
20/27297	25816: label_stop finished!
21/27297	20566: label_stop finished!
22/27297	13773: label_stop finished!
23/27297	2247: label_stop finished!
24/27297	22391: label_stop finished!
25/27297	4083: label_stop finished!
26/27297	10543: label_stop finished!
27/27297	4321: label_stop finished!
28/27297	21905: label_stop finished!
29/27297	31517: label_stop finished!
30/27297	31603: label_stop finished!
31/27297	19491: label_stop finished!
32/27297	10627: label_stop finished!
33/27297	11160: label_stop finished!
34/27297	31678: label_stop finished!
35/27297	11257: label_stop finished!
36/27297	17116: label_stop finished!
37/27297	26461: label_stop finished!
38/27297	22378: label_stop finished!
39/27297	10710: label_stop finished!
40/27297	5161: label_stop finished!
41/27297	13729: label_stop finished!
42/27297	10876: label_stop finished!
43/27297	18562: label_stop finished!
44/27297	14619: label_stop finished!
45/27297	22383: label_stop finished!
46/27297	16533: label_stop finished!
47/27297	31669: label_stop finished!
48/27297	15709: label_stop finished!
49/27297	3322: label_stop finished!
50/27297	3367: label_stop finished!
51/27297	14291: label_stop finished!
52/27297	29908: label_stop finished!
53/27297	27101: label_stop finished!
54/27297	16106: label_stop finished!
55/27297	20943: label_stop finished!
56/27297	16278: label_stop finished!
57/27297	6312: label_stop finished!
58/27297	13756: label_stop finished!
59/27297	9203: label_stop finished!
60/27297	6554: label_stop finished!
61/27297	15280: label_stop finished!
62/27297	12648: label_stop finished!
63/27297	38115: label_stop finished!
64/27297	21273: label_stop finished!
65/27297	39154: label_stop finished!
66/27297	16508: label_stop finished!
67/27297	32510: label_stop finished!
68/27297	29499: label_stop finished!
69/27297	32498: label_stop finished!
70/27297	9223: label_stop finished!
71/27297	32465: label_stop finished!
72/27297	31276: label_stop finished!
73/27297	10939: label_stop finished!
74/27297	31754: label_stop finished!
75/27297	20372: label_stop finished!
76/27297	1487: label_stop finished!
77/27297	16408: label_stop finished!
78/27297	15480: label_stop finished!
79/27297	30739: label_stop finished!
80/27297	3924: label_stop finished!
81/27297	35159: label_stop finished!
82/27297	16001: label_stop finished!
83/27297	23494: label_stop finished!
84/27297	2755: label_stop finished!
85/27297	27803: label_stop finished!
86/27297	30375: label_stop finished!
87/27297	13419: label_stop finished!
88/27297	3142: label_stop finished!
89/27297	10268: label_stop finished!
90/27297	7697: label_stop finished!
91/27297	22911: label_stop finished!
92/27297	12558: label_stop finished!
93/27297	31870: label_stop finished!
94/27297	30816: label_stop finished!
95/27297	33831: label_stop finished!
96/27297	35871: label_stop finished!
97/27297	7249: label_stop finished!
98/27297	19027: label_stop finished!
99/27297	1065: label_stop finished!
100/27297	10440: label_stop finished!
101/27297	21190: label_stop finished!
102/27297	20969: label_stop finished!
103/27297	31449: label_stop finished!
104/27297	36115: label_stop finished!
105/27297	18140: label_stop finished!
106/27297	34510: label_stop finished!
107/27297	16034: label_stop finished!
108/27297	16201: label_stop finished!
109/27297	9557: label_stop finished!
110/27297	34965: label_stop finished!
111/27297	13205: label_stop finished!
112/27297	19526: label_stop finished!
113/27297	18392: label_stop finished!
114/27297	38840: label_stop finished!
115/27297	18873: label_stop finished!
116/27297	8935: label_stop finished!
117/27297	4831: label_stop finished!
118/27297	6680: label_stop finished!
119/27297	17666: label_stop finished!
120/27297	38889: label_stop finished!
121/27297	32564: label_stop finished!
122/27297	11138: label_stop finished!
123/27297	33490: label_stop finished!
124/27297	31256: label_stop finished!
125/27297	1999: label_stop finished!
126/27297	18245: label_stop finished!
127/27297	23398: label_stop finished!
128/27297	34937: label_stop finished!
129/27297	12936: label_stop finished!
130/27297	31908: label_stop finished!
131/27297	30549: label_stop finished!
132/27297	14898: label_stop finished!
133/27297	6782: label_stop finished!
134/27297	7215: label_stop finished!
135/27297	18649: label_stop finished!
136/27297	3560: label_stop finished!
137/27297	37389: label_stop finished!
138/27297	21793: label_stop finished!
139/27297	18159: label_stop finished!
140/27297	12124: label_stop finished!
141/27297	23420: label_stop finished!
142/27297	8716: label_stop finished!
143/27297	11337: label_stop finished!
144/27297	24479: label_stop finished!
145/27297	10293: label_stop finished!
146/27297	19073: label_stop finished!
147/27297	4028: label_stop finished!
148/27297	9408: label_stop finished!
149/27297	28393: label_stop finished!
150/27297	18539: label_stop finished!
151/27297	24510: label_stop finished!
152/27297	13665: label_stop finished!
153/27297	13667: label_stop finished!
154/27297	16644: label_stop finished!
155/27297	6598: label_stop finished!
156/27297	18452: label_stop finished!
157/27297	6642: label_stop finished!
158/27297	28552: label_stop finished!
159/27297	30458: label_stop finished!
160/27297	33177: label_stop finished!
161/27297	11200: label_stop finished!
162/27297	14486: label_stop finished!
163/27297	25774: label_stop finished!
164/27297	12232: label_stop finished!
165/27297	34983: label_stop finished!
166/27297	20334: label_stop finished!
167/27297	7027: label_stop finished!
168/27297	16176: label_stop finished!
169/27297	12517: label_stop finished!
170/27297	19118: label_stop finished!
171/27297	20253: label_stop finished!
172/27297	18399: label_stop finished!
173/27297	31474: label_stop finished!
174/27297	10781: label_stop finished!
175/27297	16661: label_stop finished!
176/27297	9916: label_stop finished!
177/27297	24363: label_stop finished!
178/27297	15977: label_stop finished!
179/27297	15009: label_stop finished!
180/27297	13206: label_stop finished!
181/27297	14159: label_stop finished!
182/27297	23559: label_stop finished!
183/27297	23823: label_stop finished!
184/27297	17261: label_stop finished!
185/27297	33137: label_stop finished!
186/27297	22151: label_stop finished!
187/27297	1982: label_stop finished!
188/27297	20572: label_stop finished!
189/27297	22281: label_stop finished!
190/27297	17647: label_stop finished!
191/27297	20941: label_stop finished!
192/27297	37948: label_stop finished!
193/27297	14258: label_stop finished!
194/27297	19704: label_stop finished!
195/27297	34042: label_stop finished!
196/27297	20303: label_stop finished!
197/27297	8300: label_stop finished!
198/27297	8305: label_stop finished!
199/27297	31532: label_stop finished!
200/27297	30114: label_stop finished!
201/27297	21510: label_stop finished!
202/27297	15253: label_stop finished!
203/27297	7218: label_stop finished!
204/27297	12672: label_stop finished!
205/27297	26435: label_stop finished!
206/27297	30529: label_stop finished!
207/27297	37052: label_stop finished!
208/27297	33539: label_stop finished!
209/27297	18070: label_stop finished!
210/27297	15910: label_stop finished!
211/27297	19580: label_stop finished!
212/27297	9452: label_stop finished!
213/27297	32937: label_stop finished!
214/27297	33909: label_stop finished!
215/27297	11683: label_stop finished!
216/27297	8484: label_stop finished!
217/27297	15372: label_stop finished!
218/27297	15520: label_stop finished!
219/27297	8751: label_stop finished!
220/27297	21382: label_stop finished!
221/27297	31582: label_stop finished!
222/27297	33171: label_stop finished!
223/27297	21626: label_stop finished!
224/27297	12603: label_stop finished!
225/27297	28015: label_stop finished!
226/27297	6286: label_stop finished!
227/27297	26322: label_stop finished!
228/27297	18418: label_stop finished!
229/27297	29610: label_stop finished!
230/27297	18659: label_stop finished!
231/27297	2886: label_stop finished!
232/27297	34832: label_stop finished!
233/27297	14200: label_stop finished!
234/27297	2925: label_stop finished!
235/27297	26172: label_stop finished!
236/27297	27810: label_stop finished!
237/27297	28986: label_stop finished!
238/27297	1139: label_stop finished!
239/27297	7131: label_stop finished!
240/27297	32584: label_stop finished!
241/27297	21304: label_stop finished!
242/27297	9271: label_stop finished!
243/27297	17993: label_stop finished!
244/27297	25881: label_stop finished!
245/27297	17568: label_stop finished!
246/27297	20800: label_stop finished!
247/27297	15376: label_stop finished!
248/27297	35869: label_stop finished!
249/27297	37783: label_stop finished!
250/27297	9406: label_stop finished!
251/27297	11410: label_stop finished!
252/27297	2542: label_stop finished!
253/27297	2230: label_stop finished!
254/27297	4787: label_stop finished!
255/27297	27298: label_stop finished!
256/27297	14325: label_stop finished!
257/27297	20956: label_stop finished!
258/27297	37577: label_stop finished!
259/27297	24891: label_stop finished!
260/27297	11835: label_stop finished!
261/27297	9328: label_stop finished!
262/27297	19039: label_stop finished!
263/27297	11698: label_stop finished!
264/27297	17590: label_stop finished!
265/27297	9061: label_stop finished!
266/27297	18308: label_stop finished!
267/27297	9678: label_stop finished!
268/27297	24397: label_stop finished!
269/27297	2183: label_stop finished!
270/27297	28120: label_stop finished!
271/27297	14499: label_stop finished!
272/27297	19130: label_stop finished!
273/27297	2211: label_stop finished!
274/27297	26275: label_stop finished!
275/27297	12340: label_stop finished!
276/27297	17742: label_stop finished!
277/27297	4449: label_stop finished!
278/27297	32244: label_stop finished!
279/27297	6700: label_stop finished!
280/27297	10561: label_stop finished!
281/27297	25063: label_stop finished!
282/27297	21346: label_stop finished!
283/27297	15024: label_stop finished!
284/27297	28001: label_stop finished!
285/27297	21168: label_stop finished!
286/27297	12570: label_stop finished!
287/27297	23221: label_stop finished!
288/27297	8251: label_stop finished!
289/27297	8320: label_stop finished!
290/27297	10207: label_stop finished!
291/27297	18224: label_stop finished!
292/27297	2179: label_stop finished!
293/27297	15973: label_stop finished!
294/27297	17917: label_stop finished!
295/27297	20124: label_stop finished!
296/27297	8585: label_stop finished!
297/27297	26776: label_stop finished!
298/27297	13167: label_stop finished!
299/27297	12839: label_stop finished!
300/27297	30387: label_stop finished!
301/27297	17747: label_stop finished!
302/27297	30546: label_stop finished!
303/27297	7613: label_stop finished!
304/27297	2783: label_stop finished!
305/27297	11889: label_stop finished!
306/27297	32906: label_stop finished!
307/27297	13281: label_stop finished!
308/27297	18615: label_stop finished!
309/27297	6298: label_stop finished!
310/27297	21240: label_stop finished!
311/27297	29342: label_stop finished!
312/27297	18855: label_stop finished!
313/27297	5610: label_stop finished!
314/27297	32610: label_stop finished!
315/27297	15593: label_stop finished!
316/27297	5803: label_stop finished!
317/27297	13113: label_stop finished!
318/27297	23664: label_stop finished!
319/27297	29184: label_stop finished!
320/27297	5838: label_stop finished!
321/27297	15044: label_stop finished!
322/27297	11035: label_stop finished!
323/27297	14751: label_stop finished!
324/27297	10704: label_stop finished!
325/27297	15145: label_stop finished!
326/27297	32153: label_stop finished!
327/27297	22376: label_stop finished!
328/27297	12398: label_stop finished!
329/27297	35579: label_stop finished!
330/27297	9513: label_stop finished!
331/27297	28468: label_stop finished!
332/27297	6058: label_stop finished!
333/27297	27093: label_stop finished!
334/27297	23274: label_stop finished!
335/27297	21645: label_stop finished!
336/27297	15004: label_stop finished!
337/27297	4242: label_stop finished!
338/27297	9300: label_stop finished!
339/27297	27426: label_stop finished!
340/27297	27706: label_stop finished!
341/27297	37503: label_stop finished!
342/27297	17094: label_stop finished!
343/27297	8733: label_stop finished!
344/27297	3029: label_stop finished!
345/27297	32416: label_stop finished!
346/27297	9298: label_stop finished!
347/27297	32784: label_stop finished!
348/27297	33378: label_stop finished!
349/27297	2153: label_stop finished!
350/27297	6899: label_stop finished!
351/27297	18705: label_stop finished!
352/27297	22310: label_stop finished!
353/27297	7217: label_stop finished!
354/27297	20475: label_stop finished!
355/27297	2692: label_stop finished!
356/27297	14727: label_stop finished!
357/27297	19319: label_stop finished!
358/27297	20569: label_stop finished!
359/27297	8410: label_stop finished!
360/27297	31565: label_stop finished!
361/27297	31978: label_stop finished!
362/27297	26795: label_stop finished!
363/27297	5540: label_stop finished!
364/27297	6031: label_stop finished!
365/27297	2677: label_stop finished!
366/27297	26587: label_stop finished!
367/27297	7189: label_stop finished!
368/27297	20656: label_stop finished!
369/27297	37220: label_stop finished!
370/27297	15798: label_stop finished!
371/27297	12718: label_stop finished!
372/27297	17619: label_stop finished!
373/27297	14728: label_stop finished!
374/27297	1475: label_stop finished!
375/27297	11640: label_stop finished!
376/27297	15523: label_stop finished!
377/27297	23056: label_stop finished!
378/27297	14134: label_stop finished!
379/27297	27784: label_stop finished!
380/27297	6737: label_stop finished!
381/27297	11278: label_stop finished!
382/27297	33523: label_stop finished!
